date;Bangladesh;Bangladesh_filter
2020-05-09;13770;13935.399999999998
2020-05-10;14657;14782.399999999996
2020-05-11;15691;15719.999999999996
2020-05-12;16660;16738.6
2020-05-13;17822;17820.199999999997
2020-05-14;18863;18880.999999999996
2020-05-15;20065;20002.6
2020-05-16;20995;21212.199999999997
2020-05-17;22268;22463.799999999996
2020-05-18;23870;23798.399999999994
2020-05-19;25121;25301.599999999995
2020-05-20;26738;26888.999999999996
2020-05-21;28511;28530.59999999999
2020-05-22;30205;30228.399999999994
2020-05-23;32078;31997.799999999992
2020-05-24;33610;33645.799999999996
2020-05-25;35585;35263.2
2020-05-26;36751;36911.799999999996
2020-05-27;38292;38758.59999999999
2020-05-28;40321;40563.19999999999
2020-05-29;42844;42643.59999999999
2020-05-30;44608;44891.99999999999
2020-05-31;47153;47316.79999999999
2020-06-01;49534;49775.999999999985
2020-06-02;52445;52366.99999999999
2020-06-03;55140;55014.59999999999
2020-06-04;57563;57712.999999999985
2020-06-05;60391;60377.79999999999
2020-06-06;63026;63050.599999999984
2020-06-07;65769;65872.99999999999
2020-06-08;68504;68767.79999999999
2020-06-09;71675;71772.99999999999
2020-06-10;74865;74923.79999999999
2020-06-11;78052;78098.79999999999
2020-06-12;81523;81267.79999999999
2020-06-13;84379;84418.59999999998
2020-06-14;87520;87704.4
2020-06-15;90619;91097.59999999998
2020-06-16;94481;94680.19999999998
2020-06-17;98489;98283.19999999998
2020-06-18;102292;101914.39999999998
2020-06-19;105535;105479.4
2020-06-20;108775;108938.79999999999
2020-06-21;112306;112319.99999999997
2020-06-22;115786;115744.99999999997
2020-06-23;119198;119311.19999999998
2020-06-24;122660;122944.79999999997
2020-06-25;126606;126583.19999999998
2020-06-26;130474;130300.99999999997
2020-06-27;133978;134129.19999999998
2020-06-28;137787;137904.59999999998
2020-06-29;141801;141661.39999999997
2020-06-30;145483;145521.19999999998
2020-07-01;149258;149241.99999999997
2020-07-02;153277;152817.59999999998
2020-07-03;156391;156204.39999999997
2020-07-04;159679;159476.39999999997
2020-07-05;162417;162549.99999999997
2020-07-06;165618;165698.59999999998
2020-07-07;168645;168861.59999999998
2020-07-08;172134;172066.79999999996
2020-07-09;175494;175168.99999999994
2020-07-10;178443;178199.0
2020-07-11;181129;181150.99999999994
2020-07-12;183795;184063.59999999998
2020-07-13;186894;187092.99999999994
2020-07-14;190057;190131.79999999996
2020-07-15;193590;193244.19999999995
2020-07-16;196323;196278.59999999998
2020-07-17;199357;199172.19999999995
2020-07-18;202066;201944.79999999996
2020-07-19;204525;204782.19999999995
2020-07-20;207453;207561.59999999998
2020-07-21;210510;210370.39999999997
2020-07-22;213254;213196.99999999994
2020-07-23;216110;215941.99999999994
2020-07-24;218658;218530.59999999995
2020-07-25;221178;221124.79999999996
2020-07-26;223453;223739.79999999996
2020-07-27;226225;226446.99999999994
2020-07-28;229185;229189.19999999995
2020-07-29;232194;232030.79999999993
2020-07-30;234889;234757.8
2020-07-31;237661;237069.99999999994
2020-08-01;239860;239051.59999999998
2020-08-02;240746;240877.79999999993
2020-08-03;242102;242680.39999999994
2020-08-04;244020;244638.59999999995
2020-08-05;246674;246989.79999999996
2020-08-06;249651;249591.99999999997
2020-08-07;252502;252307.99999999994
2020-08-08;255113;255074.59999999998
2020-08-09;257600;257844.99999999994
2020-08-10;260507;260644.19999999995
2020-08-11;263503;263444.6
2020-08-12;266498;266300.79999999993
2020-08-13;269115;269104.39999999997
2020-08-14;271881;271713.6
2020-08-15;274525;274242.79999999993
2020-08-16;276549;276888.5999999999
2020-08-17;279144;279530.6
2020-08-18;282344;282217.3999999999
2020-08-19;285091;284979.6
2020-08-20;287959;287675.79999999993
2020-08-21;290360;290126.5999999999
2020-08-22;292625;292524.99999999994
2020-08-23;294598;294858.79999999993
2020-08-24;297083;297216.19999999995
2020-08-25;299628;299607.79999999993
2020-08-26;302147;302046.99999999994
2020-08-27;304583;304415.39999999997
2020-08-28;306794;306654.19999999995
2020-08-29;308925;308823.99999999994
2020-08-30;310822;310896.5999999999
2020-08-31;312996;313043.39999999997
2020-09-01;314946;315195.6
2020-09-02;317528;317354.19999999995
2020-09-03;319686;319467.99999999994
2020-09-04;321615;321510.19999999995
2020-09-05;323565;323476.3999999999
2020-09-06;325157;325389.39999999997
2020-09-07;327359;327281.99999999994
2020-09-08;329251;329162.99999999994
2020-09-09;331078;331084.0
2020-09-10;332970;332820.99999999994
2020-09-11;334762;334474.79999999993
2020-09-12;336044;336125.5999999999
2020-09-13;337520;337742.79999999993
2020-09-14;339332;339324.6
2020-09-15;341056;340968.5999999999
2020-09-16;342671;342625.6
2020-09-17;344264;344233.6
2020-09-18;345805;345805.99999999994
2020-09-19;347372;347395.99999999994
2020-09-20;348918;348978.79999999993
2020-09-21;350621;350586.6
2020-09-22;352178;352188.9999999999
2020-09-23;353844;353758.79999999993
2020-09-24;355384;355209.19999999995
2020-09-25;356767;356603.19999999995
2020-09-26;357873;357945.3999999999
